decision_id,run_id,run_month,run_date,customer_id,model_version,p_new_season,p_performance,p_suppression,recommended_campaign,predicted_conversion,estimated_uplift,estimated_net_value,priority_score,recommend_followup,tenure_months,recency_days,historical_spend,purchase_frequency,digital_engagement,email_engagement,prior_campaign_response,category_affinity,performance_affinity,lifestyle_affinity,days_since_visit,followup_eligible,primary_channel,loyalty_tier,customer_type,region,state,market_type,segment,actual_campaign,execution_class,followup_completed,converted,gross_revenue,campaign_cost,incremental_conversion_prob,net_incremental_revenue,missed_value,wasted_spend
RUN-202408-AT-101828,RUN-202408,2024-08,2024-08-01,AT-101828,v1.0,0.03884742466489939,0.027718076367983374,0.0934482635393833,Suppression,0.0934482635393833,0.0,0.0,0.23131034729212335,False,40,193,347.26,7,0.658,0.187,0.458,0.281,0.926,0.603,46,True,Direct,Explorer,New,Southeast,GA,Suburban,New Customer,New Season Edit,Suppression rejected,False,0,0.0,0.36,0.0,-0.36,0.0,0.23399999999999999
RUN-202408-AT-101918,RUN-202408,2024-08,2024-08-01,AT-101918,v1.0,0.14182825323591283,0.1776471423118264,0.020381187000688278,Performance Collection,0.1776471423118264,0.15726595531113813,7.211672237059086,0.99,False,47,167,150.41,4,0.258,0.64,0.358,0.497,0.487,0.411,54,False,Paid Social,Member,Returning,Midwest,IL,Rural,Returning Buyer,Suppression,Ignored,False,0,0.0,0.0,0.0,0.0,7.211672237059086,0.0
RUN-202408-AT-101975,RUN-202408,2024-08,2024-08-01,AT-101975,v1.0,0.01058594046275443,0.1985202678077819,0.08108175674514903,Performance Collection,0.1985202678077819,0.11743851106263287,5.284023935431432,0.99,False,92,47,94.63,15,0.451,0.278,0.122,0.664,0.465,0.236,51,False,Organic,Founders,New,California,CA,Urban,New Customer,Performance Collection,Adopted,False,0,0.0,0.4,0.0183,0.49,0.0,0.26
RUN-202408-AT-100188,RUN-202408,2024-08,2024-08-01,AT-100188,v1.0,0.06485665983931242,0.0266540004702604,0.051387702150224396,New Season Edit,0.06485665983931242,0.013468957689088026,0.29189755215186064,0.4723465391202972,False,71,134,183.16,6,0.393,0.335,0.183,0.42,0.328,0.52,19,False,Retail Partner,Explorer,New,Northeast,NY,Suburban,New Customer,New Season Edit,Adopted,False,0,0.0,0.36,0.0338,1.27,0.0,0.23399999999999999
RUN-202408-AT-100213,RUN-202408,2024-08,2024-08-01,AT-100213,v1.0,0.19505640883290776,0.07446797239717244,0.011414358643041914,New Season Edit,0.19505640883290776,0.18364205018986585,8.528275229189507,0.99,False,47,128,139.54,15,0.869,0.336,0.606,0.961,0.233,0.745,34,False,Paid Social,Member,New,Northeast,NJ,Suburban,New Customer,Suppression,Ignored,False,0,0.0,0.0,0.0,0.0,8.528275229189507,0.0
RUN-202408-AT-100020,RUN-202408,2024-08,2024-08-01,AT-100020,v1.0,0.08902779912570957,0.02633252524624517,0.02142793051952185,New Season Edit,0.08902779912570957,0.06759986860618772,2.9118336405394856,0.99,False,18,195,287.27,12,0.721,0.244,0.107,0.854,0.316,0.462,32,False,Paid Social,Explorer,New,Northeast,NY,Urban,New Customer,New Season Edit,Adopted,False,1,80.59,0.36,0.0724,3.15,0.0,0.0
RUN-202408-AT-100440,RUN-202408,2024-08,2024-08-01,AT-100440,v1.0,0.057948311964033654,0.04432515274368567,0.007964745391874521,New Season Edit,0.057948311964033654,0.04998356657215913,2.059204622092502,0.8528287636818982,False,43,182,62.14,15,0.178,0.022,0.25,0.741,0.561,0.719,76,False,Direct,Explorer,New,Northeast,MA,Suburban,New Customer,New Season Edit,Adopted,False,0,0.0,0.36,0.0668,2.87,0.0,0.23399999999999999
RUN-202408-AT-101103,RUN-202408,2024-08,2024-08-01,AT-101103,v1.0,0.19400140660240073,0.04952295231835744,0.06167971007573171,New Season Edit,0.19400140660240073,0.13232169652666903,6.044370111890783,0.99,True,57,118,167.08,6,0.843,0.659,0.495,0.622,0.283,0.329,9,True,Paid Social,Member,Returning,Northeast,MA,Suburban,Returning Buyer,Member Access,Modified,False,0,0.0,0.44,0.0313,1.07,4.974370111890782,0.28600000000000003
RUN-202408-AT-101264,RUN-202408,2024-08,2024-08-01,AT-101264,v1.0,0.06163829164086238,0.12608897206919523,0.033004927225983666,Performance Collection,0.12608897206919523,0.09308404484321156,4.10526777041144,0.99,True,85,195,54.98,7,0.443,0.142,0.163,0.57,0.706,0.614,30,True,Organic,Member,Returning,Midwest,OH,Urban,At-Risk,Performance Collection,Adopted,True,0,0.0,0.85,0.0862,3.32,0.0,0.5525
RUN-202408-AT-101404,RUN-202408,2024-08,2024-08-01,AT-101404,v1.0,0.08824745469103769,0.03915348303944744,0.11974447477984342,Suppression,0.11974447477984342,0.0,0.0,0.2260511050440313,False,11,64,95.39,0,0.584,0.461,0.108,0.625,0.864,0.451,2,False,Direct,Member,Returning,California,CA,Urban,Performance Affinity,Suppression,Suppression adopted,False,0,0.0,0.0,0.0,0.0,0.0,0.0
RUN-202408-AT-100233,RUN-202408,2024-08,2024-08-01,AT-100233,v1.0,0.06657173242249684,0.06516265557842414,0.07376914539796431,Suppression,0.07376914539796431,0.0,0.0,0.23524617092040717,False,38,102,180.8,10,0.774,0.323,0.441,0.356,0.42,0.539,33,False,Paid Social,Explorer,Returning,Midwest,MN,Suburban,Returning Buyer,New Season Edit,Suppression rejected,False,0,0.0,0.36,0.0,-0.36,0.0,0.23399999999999999
RUN-202408-AT-100175,RUN-202408,2024-08,2024-08-01,AT-100175,v1.0,0.019762358015695668,0.06289437979736665,0.022899072210643277,Performance Collection,0.06289437979736665,0.03999530758672337,1.5357728871974115,0.7467511050536575,False,1,149,81.42,7,0.623,0.125,0.179,0.242,0.371,0.528,47,False,Organic,Explorer,New,Pacific Northwest,OR,Suburban,New Customer,Performance Collection,Adopted,False,0,0.0,0.4,0.0619,2.59,0.0,0.26
RUN-202408-AT-100513,RUN-202408,2024-08,2024-08-01,AT-100513,v1.0,0.06931932696322449,0.09282577903750387,0.024647979008469396,Performance Collection,0.09282577903750387,0.06817780002903448,2.899805521405269,0.99,False,72,11,100.51,7,0.307,0.152,0.605,0.845,0.068,0.743,71,False,Paid Social,Explorer,Returning,California,CA,Suburban,Lifestyle Affinity,Performance Collection,Adopted,False,0,0.0,0.4,0.0719,3.08,0.0,0.26
RUN-202408-AT-101583,RUN-202408,2024-08,2024-08-01,AT-101583,v1.0,0.04136819886682742,0.06321350169145314,0.10676406060382541,Suppression,0.10676406060382541,0.0,0.0,0.22864718787923494,False,34,230,123.02,15,0.256,0.56,0.31,0.6,0.585,0.169,30,False,Paid Social,Explorer,Returning,California,CA,Urban,Returning Buyer,Re-Engagement,Suppression rejected,False,0,0.0,0.34,0.0,-0.34,0.0,0.22100000000000003
RUN-202408-AT-101068,RUN-202408,2024-08,2024-08-01,AT-101068,v1.0,0.0620862516945217,0.16433650301951144,0.11641483759995663,Performance Collection,0.16433650301951144,0.04792166541955481,1.919408606306453,0.8293437536717612,False,34,74,429.41,12,0.51,0.664,0.173,0.312,0.776,0.206,0,False,Direct,Insider,New,Pacific Northwest,WA,Urban,New Customer,New Season Edit,Modified,False,0,0.0,0.36,0.0,-0.36,2.279408606306453,0.23399999999999999
RUN-202408-AT-101049,RUN-202408,2024-08,2024-08-01,AT-101049,v1.0,0.050717924965337405,0.07545514153832773,0.020732506245291184,Performance Collection,0.07545514153832773,0.054722635293036545,2.248575548182969,0.9002098597534408,False,54,141,180.1,9,0.456,0.218,0.31,0.618,0.439,0.682,40,False,Paid Social,Explorer,Returning,California,CA,Rural,At-Risk,Suppression,Ignored,False,0,0.0,0.0,0.0,0.0,2.248575548182969,0.0
RUN-202408-AT-101886,RUN-202408,2024-08,2024-08-01,AT-101886,v1.0,0.04491061109652657,0.052870926505114414,0.037433541549729436,Performance Collection,0.052870926505114414,0.015437384955384978,0.34716943184063287,0.49085755123511143,False,42,31,350.82,7,0.242,0.382,0.384,0.401,0.206,0.711,29,False,Retail Partner,Explorer,Returning,California,CA,Rural,High-Value,Suppression,Ignored,False,0,0.0,0.0,0.0,0.0,0.34716943184063287,0.0
RUN-202408-AT-100582,RUN-202408,2024-08,2024-08-01,AT-100582,v1.0,0.16029623441514224,0.3184223158173627,0.0981067172350635,Performance Collection,0.3184223158173627,0.22031559858229918,10.26327497138328,0.99,False,94,207,93.44,12,0.453,0.936,0.337,0.209,0.636,0.584,11,False,Paid Social,Member,New,Pacific Northwest,WA,Urban,New Customer,Performance Collection,Adopted,False,0,0.0,0.4,0.0412,1.6,0.0,0.26
RUN-202408-AT-100829,RUN-202408,2024-08,2024-08-01,AT-100829,v1.0,0.047320538068099105,0.15472547295806424,0.060092311175021944,Performance Collection,0.15472547295806424,0.09463316178304229,4.180245030299248,0.99,False,74,186,108.41,9,0.538,0.512,0.232,0.722,0.607,0.402,84,False,Organic,Member,Returning,California,CA,Suburban,Returning Buyer,Performance Collection,Adopted,False,0,0.0,0.4,0.0476,1.9,0.0,0.26
RUN-202408-AT-101905,RUN-202408,2024-08,2024-08-01,AT-101905,v1.0,0.014631881329149098,0.20320351383012047,0.07199296271918179,Performance Collection,0.20320351383012047,0.13121055111093868,5.950590673769434,0.99,False,81,188,292.31,17,0.387,0.342,0.576,0.323,0.23,0.165,83,False,Organic,Insider,Returning,Southwest,AZ,Urban,At-Risk,Performance Collection,Adopted,False,0,0.0,0.4,0.0076,-0.03,0.0,0.26
RUN-202408-AT-101817,RUN-202408,2024-08,2024-08-01,AT-101817,v1.0,0.0915641046404067,0.16293569816530526,0.10685263681716423,Performance Collection,0.16293569816530526,0.05608306134814103,2.3144201692500266,0.9143854992476296,False,95,36,156.04,15,0.605,0.5,0.127,0.475,0.651,0.472,44,False,Retail Partner,Member,Returning,Southwest,NV,Urban,Performance Affinity,Performance Collection,Adopted,False,0,0.0,0.4,0.0233,0.73,0.0,0.26
RUN-202408-AT-101800,RUN-202408,2024-08,2024-08-01,AT-101800,v1.0,0.034444356973482707,0.05847886583600997,0.057664851049777206,Suppression,0.057664851049777206,0.0,0.0,0.23846702979004458,False,16,184,74.26,4,0.333,0.449,0.17,0.428,0.245,0.303,7,False,Direct,Insider,Returning,Midwest,OH,Urban,Returning Buyer,Suppression,Suppression adopted,False,0,0.0,0.0,0.0,0.0,0.0,0.0
RUN-202408-AT-102114,RUN-202408,2024-08,2024-08-01,AT-102114,v1.0,0.08387488865619118,0.07794143049693837,0.051577332964408015,New Season Edit,0.08387488865619118,0.032297555691783164,1.2032016954823053,0.6685405303083806,False,59,59,121.57,6,0.591,0.266,0.448,0.449,0.271,0.358,11,False,Paid Social,Explorer,Returning,Pacific Northwest,ID,Urban,Returning Buyer,New Season Edit,Adopted,False,0,0.0,0.36,0.0479,1.96,0.0,0.23399999999999999
RUN-202408-AT-101509,RUN-202408,2024-08,2024-08-01,AT-101509,v1.0,0.1487710075662636,0.06253284530361046,0.012191229011411384,New Season Edit,0.1487710075662636,0.1365797785548522,6.250461282054848,0.99,False,42,199,208.13,5,0.408,0.435,0.517,0.301,0.726,0.812,73,False,Paid Social,Member,Returning,Northeast,MA,Rural,Performance Affinity,New Season Edit,Adopted,False,0,0.0,0.36,0.0802,3.52,0.0,0.23399999999999999
RUN-202408-AT-100651,RUN-202408,2024-08,2024-08-01,AT-100651,v1.0,0.041318804960426746,0.17154581982550834,0.052628590279673176,Performance Collection,0.17154581982550834,0.11891722954583517,5.355593910018423,0.99,False,85,214,199.37,14,0.397,0.691,0.266,0.461,0.233,0.521,49,False,Paid Social,Insider,Returning,Southeast,TN,Urban,Returning Buyer,Member Access,Modified,False,0,0.0,0.44,0.0203,0.54,4.815593910018423,0.28600000000000003
RUN-202408-AT-101393,RUN-202408,2024-08,2024-08-01,AT-101393,v1.0,0.10109060859324469,0.21005313519045635,0.022805720578059872,Performance Collection,0.21005313519045635,0.18724741461239647,8.662774867239989,0.99,False,53,100,296.53,4,0.25,0.542,0.175,0.517,0.3,0.704,33,False,Organic,Member,New,Pacific Northwest,WA,Urban,New Customer,Performance Collection,Adopted,False,0,0.0,0.4,0.0628,2.64,0.0,0.26
RUN-202408-AT-100408,RUN-202408,2024-08,2024-08-01,AT-100408,v1.0,0.05890308634661268,0.0758008068333743,0.007749151805680935,Performance Collection,0.0758008068333743,0.06805165502769336,2.8937001033403584,0.99,False,1,181,102.22,16,0.179,0.131,0.588,0.75,0.248,0.643,56,False,Direct,Explorer,New,Pacific Northwest,OR,Urban,New Customer,Performance Collection,Adopted,False,0,0.0,0.4,0.053,2.16,0.0,0.26
RUN-202408-AT-101932,RUN-202408,2024-08,2024-08-01,AT-101932,v1.0,0.07061206222073091,0.03455318556622186,0.05187517030764278,New Season Edit,0.07061206222073091,0.01873689191308813,0.5468655685934656,0.5272384137343783,False,2,113,193.72,16,0.705,0.584,0.27,0.404,0.214,0.403,19,False,Retail Partner,Member,New,Northeast,NJ,Urban,New Customer,New Season Edit,Adopted,False,0,0.0,0.36,0.0555,2.33,0.0,0.23399999999999999
RUN-202408-AT-102128,RUN-202408,2024-08,2024-08-01,AT-102128,v1.0,0.11122007811116165,0.2740626406845725,0.017106775554156847,Performance Collection,0.2740626406845725,0.25695586513041563,12.036663872312117,0.99,False,72,4,208.89,15,0.713,0.348,0.541,0.811,0.321,0.777,37,False,Organic,Explorer,Returning,Pacific Northwest,ID,Urban,Lifestyle Affinity,Performance Collection,Adopted,False,0,0.0,0.4,0.1083,4.84,0.0,0.26
RUN-202408-AT-101298,RUN-202408,2024-08,2024-08-01,AT-101298,v1.0,0.1510547055596561,0.08570307141920366,0.014186811356678325,New Season Edit,0.1510547055596561,0.1368678942029778,6.264406079424126,0.99,False,55,21,63.06,5,0.297,0.135,0.073,0.901,0.716,0.33,66,False,Paid Social,Member,New,Northeast,NY,Urban,New Customer,New Season Edit,Adopted,False,0,0.0,0.36,0.0684,2.95,0.0,0.23399999999999999
RUN-202408-AT-100729,RUN-202408,2024-08,2024-08-01,AT-100729,v1.0,0.058688100190115805,0.09540794682047145,0.03715647921308207,Performance Collection,0.09540794682047145,0.058251467607389376,2.4193710321976463,0.9369802924689973,True,6,144,95.53,16,0.893,0.613,0.469,0.535,0.398,0.059,60,True,Retail Partner,Member,Returning,Southwest,NM,Rural,Returning Buyer,Performance Collection,Modified,True,0,0.0,0.85,0.092,3.6,0.0,0.5525
RUN-202408-AT-101619,RUN-202408,2024-08,2024-08-01,AT-101619,v1.0,0.13702307819764026,0.2924451882863948,0.00906394041718297,Performance Collection,0.2924451882863948,0.28338124786921187,13.315652396869854,0.99,True,23,83,259.51,14,0.271,0.782,0.132,0.754,0.319,0.897,52,True,Paid Social,Insider,Returning,Pacific Northwest,OR,Suburban,Lifestyle Affinity,Performance Collection,Adopted,True,0,0.0,0.85,0.1362,5.74,0.0,0.5525
RUN-202408-AT-101000,RUN-202408,2024-08,2024-08-01,AT-101000,v1.0,0.05732051617597494,0.07947013687766089,0.04041497326689374,Performance Collection,0.07947013687766089,0.03905516361076714,1.4902699187611297,0.7369548048241936,False,50,235,221.07,12,0.767,0.257,0.567,0.778,0.543,0.093,28,False,Organic,Explorer,Returning,Pacific Northwest,OR,Urban,At-Risk,Performance Collection,Adopted,False,1,97.14,0.4,0.068,2.89,0.0,0.0
RUN-202408-AT-101307,RUN-202408,2024-08,2024-08-01,AT-101307,v1.0,0.06488626260188698,0.046378069474669825,0.07423395816369366,Suppression,0.07423395816369366,0.0,0.0,0.23515320836726128,False,82,136,88.78,1,0.777,0.046,0.519,0.683,0.275,0.278,10,False,Direct,Explorer,New,Midwest,OH,Suburban,New Customer,Suppression,Suppression adopted,False,0,0.0,0.0,0.0,0.0,0.0,0.0
RUN-202408-AT-101945,RUN-202408,2024-08,2024-08-01,AT-101945,v1.0,0.04774629819795657,0.3122060437191783,0.02035792555467085,Performance Collection,0.3122060437191783,0.29184811816450745,13.725448919162162,0.99,False,87,9,104.33,16,0.603,0.459,0.41,0.359,0.73,0.804,26,False,Direct,Insider,Returning,Southeast,GA,Rural,Performance Affinity,Suppression,Ignored,False,0,0.0,0.0,0.0,0.0,13.725448919162162,0.0
RUN-202408-AT-101263,RUN-202408,2024-08,2024-08-01,AT-101263,v1.0,0.02440067703797919,0.1945225886745111,0.03772370922019404,Performance Collection,0.1945225886745111,0.15679887945431709,7.189065765588948,0.99,False,29,2,419.09,11,0.655,0.586,0.302,0.603,0.036,0.331,53,False,Organic,Insider,New,Southeast,FL,Suburban,New Customer,Performance Collection,Adopted,False,0,0.0,0.4,0.0726,3.11,0.0,0.26
RUN-202408-AT-100841,RUN-202408,2024-08,2024-08-01,AT-100841,v1.0,0.15093903034682316,0.04049000143562455,0.017000797180228473,New Season Edit,0.15093903034682316,0.13393823316659467,6.122610485263183,0.99,False,58,125,73.64,8,0.621,0.206,0.304,0.72,0.521,0.659,25,False,Paid Social,Member,Returning,Northeast,NY,Suburban,At-Risk,New Season Edit,Adopted,False,0,0.0,0.36,0.0862,3.81,0.0,0.23399999999999999
RUN-202408-AT-100722,RUN-202408,2024-08,2024-08-01,AT-100722,v1.0,0.029321774694468623,0.15744605512259016,0.01593714963570366,Performance Collection,0.15744605512259016,0.1415089054868865,6.449031025565307,0.99,True,20,197,57.05,12,0.633,0.322,0.168,0.456,0.62,0.695,46,True,Organic,Insider,Returning,Pacific Northwest,WA,Urban,At-Risk,Performance Collection,Adopted,False,0,0.0,0.4,0.086,3.76,0.0,0.26
RUN-202408-AT-100409,RUN-202408,2024-08,2024-08-01,AT-100409,v1.0,0.04239310309199972,0.054151455446965605,0.019335868065367273,Performance Collection,0.054151455446965605,0.03481558738159833,1.2850744292693592,0.6927784205162546,False,16,170,90.57,9,0.438,0.23,0.527,0.75,0.618,0.61,38,False,Direct,Insider,Returning,Southeast,TN,Urban,At-Risk,Performance Collection,Adopted,False,0,0.0,0.4,0.0813,3.54,0.0,0.26
RUN-202408-AT-100666,RUN-202408,2024-08,2024-08-01,AT-100666,v1.0,0.18291775519998668,0.04289075074736768,0.030687536495109618,New Season Edit,0.18291775519998668,0.15223021870487707,7.007942585316051,0.99,False,48,3,176.73,0,0.281,0.427,0.145,0.808,0.365,0.422,1,False,Paid Social,Explorer,Returning,Northeast,MA,Urban,Returning Buyer,New Season Edit,Adopted,False,0,0.0,0.36,0.0778,3.4,0.0,0.23399999999999999
RUN-202408-AT-101454,RUN-202408,2024-08,2024-08-01,AT-101454,v1.0,0.039547054843138106,0.06915217786278431,0.019999188855704952,Performance Collection,0.06915217786278431,0.04915298900707936,1.9790046679426412,0.8421741454537669,False,2,181,82.0,17,0.24,0.463,0.293,0.65,0.262,0.435,81,False,Retail Partner,Explorer,Returning,Mountain West,UT,Suburban,Returning Buyer,Performance Collection,Adopted,False,0,0.0,0.4,0.0511,2.07,0.0,0.26
RUN-202408-AT-102106,RUN-202408,2024-08,2024-08-01,AT-102106,v1.0,0.06209842647335579,0.050629526614330206,0.046097208531778996,New Season Edit,0.06209842647335579,0.016001217941576794,0.4144589483723169,0.4987326909512302,False,34,176,165.49,5,0.639,0.429,0.699,0.308,0.421,0.513,87,False,Paid Social,Insider,Returning,Northeast,NJ,Urban,Returning Buyer,New Season Edit,Adopted,False,0,0.0,0.36,0.0535,2.23,0.0,0.23399999999999999
RUN-202408-AT-101940,RUN-202408,2024-08,2024-08-01,AT-101940,v1.0,0.0480044060846259,0.06049596653997555,0.1403837374988323,Suppression,0.1403837374988323,0.0,0.0,0.22192325250023354,False,84,81,110.72,0,0.621,0.226,0.314,0.145,0.406,0.762,60,False,Paid Social,Member,Returning,California,CA,Urban,Lifestyle Affinity,Suppression,Suppression adopted,False,0,0.0,0.0,0.0,0.0,0.0,0.0
RUN-202408-AT-100610,RUN-202408,2024-08,2024-08-01,AT-100610,v1.0,0.04651703169416178,0.045226149612640446,0.042910711559312704,Suppression,0.042910711559312704,0.0,0.0,0.24141785768813745,False,29,168,112.47,4,0.235,0.193,0.134,0.376,0.371,0.718,12,False,Direct,Explorer,New,Midwest,IL,Urban,New Customer,Suppression,Suppression adopted,False,0,0.0,0.0,0.0,0.0,0.0,0.0
RUN-202408-AT-100472,RUN-202408,2024-08,2024-08-01,AT-100472,v1.0,0.041314980015494086,0.03188850155231106,0.026363065896795573,New Season Edit,0.041314980015494086,0.014951914118698513,0.36367264334500815,0.48779894511683847,True,17,237,55.95,15,0.84,0.339,0.394,0.763,0.443,0.54,8,True,Retail Partner,Founders,Returning,Pacific Northwest,OR,Urban,At-Risk,New Season Edit,Adopted,False,0,0.0,0.36,0.0749,3.26,0.0,0.23399999999999999
RUN-202408-AT-100929,RUN-202408,2024-08,2024-08-01,AT-100929,v1.0,0.07692461487825147,0.07625636034759023,0.04167463016219617,New Season Edit,0.07692461487825147,0.0352499847160553,1.3460992602570767,0.6993048407412962,False,38,156,113.42,4,0.285,0.538,0.594,0.414,0.573,0.235,84,False,Organic,Member,Returning,Northeast,NY,Urban,Returning Buyer,New Season Edit,Adopted,False,0,0.0,0.36,0.0374,1.45,0.0,0.23399999999999999
RUN-202408-AT-100668,RUN-202408,2024-08,2024-08-01,AT-100668,v1.0,0.08796483892281277,0.1447936554453429,0.03485967901042669,Performance Collection,0.1447936554453429,0.1099339764349162,4.920804459449944,0.99,False,46,33,77.81,13,0.134,0.397,0.618,0.895,0.515,0.188,70,False,Paid Social,Member,Returning,California,CA,Suburban,Returning Buyer,Performance Collection,Adopted,False,0,0.0,0.4,0.0869,3.8,0.0,0.26
RUN-202408-AT-101532,RUN-202408,2024-08,2024-08-01,AT-101532,v1.0,0.10505856681018869,0.2967459022529275,0.08849208099719356,Performance Collection,0.2967459022529275,0.20825382125573394,9.679484948777523,0.99,False,81,61,69.57,11,0.364,0.768,0.199,0.223,0.372,0.549,16,False,Paid Social,Member,New,Midwest,MN,Suburban,New Customer,Performance Collection,Adopted,False,0,0.0,0.4,0.0382,1.45,0.0,0.26
RUN-202408-AT-100653,RUN-202408,2024-08,2024-08-01,AT-100653,v1.0,0.01741372108957321,0.03245877409196394,0.1987408508056145,Suppression,0.1987408508056145,0.0,0.0,0.21025182983887708,False,59,149,79.94,14,0.585,0.155,0.528,0.093,0.461,0.174,8,False,Direct,Member,Returning,California,CA,Suburban,At-Risk,New Season Edit,Suppression rejected,False,0,0.0,0.36,0.0,-0.36,0.0,0.23399999999999999
RUN-202408-AT-102107,RUN-202408,2024-08,2024-08-01,AT-102107,v1.0,0.02198590747155449,0.033407286520072195,0.0897040457721651,Suppression,0.0897040457721651,0.0,0.0,0.23205919084556698,False,66,212,536.33,13,0.61,0.304,0.443,0.37,0.626,0.715,84,False,Retail Partner,Founders,New,Southeast,TN,Urban,New Customer,Suppression,Suppression adopted,False,0,0.0,0.0,0.0,0.0,0.0,0.0
