customer_id,tenure_months,recency_days,historical_spend,purchase_frequency,digital_engagement,email_engagement,prior_campaign_response,category_affinity,performance_affinity,lifestyle_affinity,days_since_visit,followup_eligible,primary_channel,loyalty_tier,customer_type,region,state,market_type,segment
AT-100043,52,143,207.55,16,0.547,0.428,0.368,0.532,0.593,0.891,85,False,Organic,Insider,New,Mountain West,UT,Suburban,New Customer
AT-100044,23,137,202.63,17,0.636,0.743,0.316,0.589,0.414,0.61,5,False,Organic,Member,Returning,Northeast,PA,Suburban,Returning Buyer
AT-100045,37,129,165.34,10,0.878,0.425,0.343,0.436,0.517,0.245,5,False,Organic,Founders,Returning,Northeast,NJ,Suburban,Returning Buyer
AT-100046,3,150,172.31,11,0.462,0.677,0.509,0.489,0.334,0.521,50,False,Direct,Insider,Returning,Mountain West,CO,Urban,Returning Buyer
AT-100047,67,219,99.65,5,0.274,0.927,0.223,0.243,0.982,0.634,34,True,Paid Social,Explorer,Returning,California,CA,Urban,Performance Affinity
AT-100048,88,232,220.48,0,0.241,0.258,0.123,0.51,0.407,0.559,21,False,Direct,Insider,New,Midwest,MI,Suburban,New Customer
AT-100049,75,209,207.79,3,0.904,0.205,0.31,0.67,0.594,0.63,84,False,Paid Social,Member,Returning,California,CA,Suburban,At-Risk
AT-100050,30,110,133.22,1,0.263,0.36,0.235,0.783,0.451,0.652,34,False,Direct,Member,Returning,California,CA,Suburban,Lifestyle Affinity
AT-100051,46,174,288.89,12,0.792,0.374,0.366,0.579,0.585,0.399,24,False,Paid Social,Member,Returning,Pacific Northwest,WA,Suburban,Returning Buyer
AT-100052,91,45,372.22,9,0.668,0.474,0.15,0.575,0.24,0.41,69,False,Retail Partner,Insider,New,Northeast,MA,Suburban,New Customer
AT-100053,41,211,291.24,13,0.382,0.203,0.235,0.669,0.148,0.524,77,False,Direct,Member,Returning,Midwest,MN,Suburban,At-Risk
AT-100054,80,47,87.38,2,0.478,0.045,0.461,0.757,0.814,0.973,58,True,Direct,Member,Returning,Northeast,PA,Suburban,Performance Affinity
AT-100055,55,28,194.37,16,0.41,0.307,0.407,0.359,0.456,0.215,46,False,Retail Partner,Explorer,Returning,Northeast,MA,Suburban,Returning Buyer
AT-100056,48,199,95.77,12,0.619,0.429,0.091,0.255,0.196,0.233,37,False,Organic,Member,Returning,Southwest,NV,Suburban,Returning Buyer
AT-100057,56,182,193.95,16,0.762,0.743,0.341,0.498,0.365,0.83,72,True,Paid Social,Insider,New,Midwest,IL,Urban,New Customer
AT-100058,22,34,96.04,11,0.831,0.367,0.327,0.527,0.471,0.504,58,False,Direct,Insider,Returning,California,CA,Urban,Returning Buyer
AT-100059,41,231,443.2,6,0.351,0.867,0.053,0.559,0.12,0.378,59,False,Direct,Explorer,Returning,Pacific Northwest,OR,Suburban,High-Value
AT-100060,29,27,313.67,11,0.939,0.669,0.47,0.825,0.2,0.501,88,False,Paid Social,Insider,Returning,Midwest,OH,Rural,Returning Buyer
AT-100061,72,12,406.3,10,0.45,0.544,0.047,0.433,0.086,0.185,72,False,Retail Partner,Insider,Returning,Southwest,NM,Suburban,High-Value
AT-100062,59,229,378.5,3,0.816,0.699,0.26,0.482,0.41,0.631,69,False,Direct,Member,Returning,Midwest,OH,Urban,High-Value
AT-100063,38,54,149.99,1,0.358,0.857,0.236,0.824,0.7,0.349,30,False,Paid Social,Explorer,Returning,Northeast,PA,Suburban,Performance Affinity
AT-100064,79,57,134.57,11,0.657,0.192,0.265,0.623,0.212,0.145,69,False,Paid Social,Member,New,Midwest,MI,Urban,New Customer
AT-100065,44,190,613.52,1,0.827,0.643,0.858,0.239,0.087,0.6,88,False,Direct,Explorer,Returning,Midwest,IL,Suburban,High-Value
AT-100066,91,146,161.49,1,0.638,0.677,0.296,0.312,0.086,0.675,63,False,Organic,Explorer,Returning,Midwest,MN,Rural,Lifestyle Affinity
AT-100067,58,125,70.23,1,0.873,0.584,0.386,0.807,0.552,0.569,35,False,Direct,Member,Returning,Mountain West,UT,Suburban,Returning Buyer
AT-100068,85,237,366.95,11,0.178,0.398,0.22,0.336,0.185,0.559,1,False,Organic,Insider,Returning,Pacific Northwest,OR,Suburban,High-Value
AT-100069,94,21,200.47,16,0.388,0.68,0.503,0.638,0.371,0.621,3,True,Paid Social,Member,Returning,Southwest,NV,Urban,Returning Buyer
AT-100070,32,222,520.17,8,0.5,0.492,0.245,0.727,0.747,0.195,27,False,Organic,Insider,Returning,California,CA,Suburban,High-Value
AT-100071,25,65,214.88,2,0.851,0.611,0.913,0.917,0.414,0.761,69,False,Direct,Insider,Returning,Southwest,NM,Rural,Lifestyle Affinity
AT-100072,80,149,178.75,9,0.652,0.474,0.355,0.423,0.545,0.8,9,False,Paid Social,Explorer,Returning,Northeast,PA,Suburban,Lifestyle Affinity
AT-100073,23,78,527.57,8,0.389,0.447,0.322,0.976,0.199,0.659,19,False,Paid Social,Explorer,Returning,California,CA,Suburban,High-Value
AT-100074,72,71,61.75,10,0.373,0.454,0.865,0.76,0.502,0.302,32,False,Paid Social,Insider,Returning,Pacific Northwest,WA,Urban,Returning Buyer
AT-100075,17,77,120.33,7,0.945,0.441,0.105,0.43,0.143,0.404,8,False,Paid Social,Insider,New,California,CA,Urban,New Customer
AT-100076,83,134,97.4,9,0.521,0.573,0.387,0.302,0.598,0.447,53,False,Direct,Member,Returning,California,CA,Urban,Returning Buyer
AT-100077,66,210,39.0,5,0.428,0.471,0.084,0.486,0.531,0.141,61,False,Paid Social,Member,Returning,Midwest,MN,Urban,Returning Buyer
AT-100078,50,27,334.03,16,0.165,0.143,0.597,0.754,0.835,0.746,2,True,Organic,Member,Returning,Midwest,OH,Urban,Performance Affinity
AT-100079,43,159,122.71,9,0.556,0.581,0.346,0.645,0.829,0.27,70,False,Organic,Insider,Returning,Northeast,MA,Rural,Performance Affinity
AT-100080,61,206,341.64,5,0.463,0.81,0.428,0.843,0.25,0.806,11,False,Direct,Insider,Returning,Midwest,MI,Suburban,Lifestyle Affinity
AT-100081,37,176,238.02,0,0.664,0.549,0.418,0.263,0.044,0.54,56,False,Paid Social,Explorer,New,Southwest,AZ,Urban,New Customer
AT-100082,38,235,277.27,12,0.624,0.295,0.478,0.332,0.337,0.084,5,False,Paid Social,Explorer,Returning,Northeast,NY,Urban,At-Risk
AT-100083,20,4,131.79,6,0.376,0.564,0.272,0.62,0.398,0.035,22,False,Organic,Explorer,Returning,California,CA,Urban,Returning Buyer
AT-100084,15,87,106.17,4,0.942,0.737,0.081,0.413,0.162,0.763,56,False,Retail Partner,Founders,New,Pacific Northwest,OR,Rural,New Customer
AT-100085,85,103,193.03,8,0.56,0.041,0.109,0.496,0.725,0.657,18,False,Retail Partner,Insider,New,Pacific Northwest,WA,Urban,New Customer
AT-100086,72,129,344.96,8,0.652,0.242,0.473,0.712,0.479,0.378,66,True,Direct,Insider,Returning,Northeast,NJ,Suburban,High-Value
AT-100087,43,76,174.99,14,0.6,0.293,0.257,0.422,0.294,0.301,28,False,Paid Social,Explorer,Returning,Southwest,NV,Rural,Returning Buyer
AT-100088,80,61,110.9,9,0.198,0.143,0.639,0.852,0.283,0.248,79,True,Organic,Member,New,California,CA,Urban,New Customer
AT-100089,58,204,78.31,12,0.196,0.573,0.38,0.131,0.188,0.61,61,False,Retail Partner,Explorer,New,Southwest,NM,Suburban,New Customer
AT-100090,57,56,209.12,11,0.751,0.825,0.32,0.689,0.107,0.436,31,False,Direct,Member,Returning,California,CA,Rural,Returning Buyer
AT-100091,11,228,123.0,15,0.467,0.402,0.586,0.632,0.579,0.487,5,False,Organic,Explorer,New,Midwest,OH,Urban,New Customer
AT-100092,52,9,172.39,0,0.36,0.159,0.537,0.944,0.431,0.316,67,True,Organic,Insider,Returning,Southwest,AZ,Urban,Returning Buyer
AT-100093,11,102,153.37,6,0.645,0.408,0.375,0.333,0.371,0.215,77,False,Direct,Explorer,New,Mountain West,UT,Rural,New Customer
AT-100094,65,146,132.81,12,0.681,0.611,0.394,0.415,0.779,0.327,41,True,Paid Social,Member,Returning,Mountain West,MT,Rural,Performance Affinity
AT-100095,7,233,222.66,2,0.649,0.38,0.089,0.186,0.406,0.349,86,True,Organic,Founders,Returning,Midwest,OH,Suburban,Returning Buyer
AT-100096,49,183,267.24,7,0.779,0.636,0.541,0.409,0.27,0.107,36,False,Direct,Member,Returning,Mountain West,MT,Suburban,Returning Buyer
AT-100097,35,4,717.44,7,0.38,0.47,0.55,0.523,0.712,0.21,79,False,Paid Social,Explorer,Returning,Pacific Northwest,OR,Urban,High-Value
AT-100098,13,179,308.15,14,0.396,0.559,0.383,0.681,0.402,0.305,11,False,Retail Partner,Insider,New,Pacific Northwest,OR,Rural,New Customer
AT-100099,45,78,553.12,17,0.5,0.713,0.592,0.693,0.729,0.288,38,True,Paid Social,Member,Returning,Southeast,GA,Suburban,High-Value
AT-100100,20,206,102.2,1,0.431,0.711,0.62,0.438,0.024,0.613,66,True,Organic,Member,New,Southeast,NC,Urban,New Customer
AT-100101,24,186,59.11,3,0.163,0.627,0.55,0.704,0.305,0.736,47,False,Organic,Member,New,Midwest,MI,Suburban,New Customer
AT-100102,85,46,179.45,13,0.088,0.852,0.334,0.656,0.512,0.531,48,False,Direct,Insider,Returning,California,CA,Rural,Returning Buyer
AT-100103,34,87,330.5,3,0.804,0.381,0.454,0.654,0.382,0.504,46,False,Retail Partner,Member,Returning,Southeast,NC,Rural,Returning Buyer
AT-100104,39,197,296.13,8,0.645,0.455,0.33,0.057,0.407,0.608,9,False,Paid Social,Member,Returning,Northeast,NJ,Urban,Returning Buyer
AT-100105,1,221,423.25,16,0.431,0.362,0.24,0.73,0.243,0.43,53,True,Paid Social,Member,New,Northeast,MA,Urban,New Customer
AT-100106,29,145,30.7,17,0.804,0.463,0.402,0.571,0.702,0.468,1,False,Retail Partner,Explorer,Returning,Southwest,AZ,Rural,Performance Affinity
AT-100107,34,53,435.76,17,0.387,0.766,0.687,0.384,0.216,0.805,76,False,Direct,Insider,Returning,California,CA,Rural,High-Value
AT-100108,69,94,229.25,2,0.636,0.516,0.49,0.616,0.431,0.558,34,False,Paid Social,Explorer,Returning,Pacific Northwest,OR,Suburban,Returning Buyer
AT-100109,12,191,61.51,2,0.596,0.672,0.193,0.8,0.246,0.566,77,False,Direct,Member,Returning,Southeast,GA,Suburban,Returning Buyer
AT-100110,89,144,300.81,3,0.415,0.273,0.155,0.464,0.758,0.387,30,False,Direct,Member,Returning,Southwest,AZ,Suburban,At-Risk
AT-100111,13,49,204.11,13,0.594,0.659,0.295,0.403,0.538,0.458,27,False,Organic,Explorer,Returning,California,CA,Urban,Returning Buyer
AT-100112,63,69,236.72,3,0.863,0.621,0.278,0.781,0.949,0.298,58,False,Organic,Member,Returning,Mountain West,MT,Urban,Performance Affinity
AT-100113,1,48,364.81,7,0.205,0.202,0.605,0.753,0.296,0.73,9,False,Retail Partner,Member,Returning,Midwest,MN,Urban,High-Value
AT-100114,78,113,244.98,14,0.185,0.741,0.021,0.762,0.172,0.239,45,False,Organic,Explorer,New,California,CA,Urban,New Customer
AT-100115,67,107,64.65,8,0.238,0.262,0.176,0.733,0.686,0.18,50,False,Retail Partner,Explorer,Returning,Northeast,PA,Rural,Performance Affinity
AT-100116,80,130,164.0,16,0.629,0.223,0.153,0.829,0.5,0.51,24,False,Paid Social,Insider,Returning,Northeast,PA,Urban,At-Risk
AT-100117,89,226,58.42,8,0.37,0.656,0.331,0.472,0.317,0.526,3,False,Paid Social,Founders,New,Northeast,MA,Urban,New Customer
AT-100118,80,156,285.53,6,0.858,0.373,0.544,0.857,0.435,0.526,76,False,Retail Partner,Member,Returning,Southwest,NM,Suburban,Returning Buyer
AT-100119,60,140,482.31,17,0.69,0.509,0.312,0.686,0.054,0.379,60,False,Organic,Explorer,New,Midwest,OH,Urban,New Customer
AT-100120,80,88,76.02,9,0.742,0.185,0.159,0.641,0.594,0.499,69,False,Organic,Explorer,Returning,Midwest,OH,Urban,Returning Buyer
AT-100121,10,152,113.29,3,0.473,0.229,0.615,0.753,0.291,0.254,64,False,Direct,Explorer,Returning,Midwest,OH,Suburban,At-Risk
AT-100122,62,229,97.74,11,0.631,0.389,0.3,0.547,0.61,0.292,82,False,Direct,Member,Returning,Pacific Northwest,OR,Urban,Returning Buyer
AT-100123,95,3,131.93,13,0.611,0.244,0.435,0.224,0.608,0.308,60,False,Retail Partner,Founders,Returning,Southwest,NM,Suburban,Returning Buyer
AT-100124,36,84,241.94,15,0.836,0.306,0.182,0.199,0.12,0.169,10,False,Organic,Insider,Returning,Pacific Northwest,OR,Rural,Returning Buyer
AT-100125,93,14,132.93,0,0.733,0.553,0.193,0.233,0.415,0.803,23,False,Organic,Explorer,Returning,Southwest,AZ,Urban,Lifestyle Affinity
AT-100126,49,49,286.22,1,0.522,0.745,0.819,0.798,0.743,0.573,59,False,Direct,Founders,Returning,Mountain West,CO,Rural,Performance Affinity
AT-100127,45,16,382.13,11,0.91,0.38,0.615,0.455,0.178,0.451,66,True,Organic,Member,Returning,California,CA,Rural,High-Value
AT-100128,29,142,391.99,13,0.152,0.501,0.612,0.663,0.349,0.504,74,False,Paid Social,Explorer,Returning,Pacific Northwest,WA,Rural,High-Value
AT-100129,11,196,82.87,11,0.882,0.716,0.027,0.595,0.352,0.566,26,False,Organic,Member,Returning,Midwest,IL,Suburban,Returning Buyer
AT-100130,84,225,478.26,6,0.565,0.444,0.226,0.613,0.656,0.22,30,False,Paid Social,Explorer,Returning,California,CA,Suburban,High-Value
AT-100131,69,57,505.86,13,0.202,0.387,0.267,0.376,0.719,0.709,38,False,Paid Social,Insider,Returning,Southeast,FL,Suburban,High-Value
AT-100132,39,168,537.47,10,0.442,0.22,0.449,0.473,0.337,0.65,89,False,Paid Social,Member,Returning,Midwest,MI,Suburban,High-Value
AT-100133,92,79,162.31,16,0.723,0.302,0.434,0.842,0.703,0.269,62,True,Direct,Member,New,Mountain West,MT,Urban,New Customer
AT-100134,18,76,107.09,6,0.368,0.609,0.033,0.175,0.739,0.301,64,False,Paid Social,Member,New,Midwest,MI,Rural,New Customer
AT-100135,74,146,91.02,13,0.63,0.403,0.467,0.333,0.182,0.839,27,False,Direct,Insider,Returning,Pacific Northwest,OR,Suburban,Lifestyle Affinity
AT-100136,43,163,83.83,2,0.3,0.287,0.354,0.414,0.605,0.152,27,False,Organic,Member,New,Southeast,GA,Suburban,New Customer
AT-100137,60,140,182.76,13,0.356,0.621,0.309,0.612,0.412,0.37,79,True,Paid Social,Member,New,Southwest,NM,Urban,New Customer
AT-100138,4,24,328.16,13,0.698,0.665,0.233,0.289,0.592,0.331,45,False,Paid Social,Explorer,Returning,Northeast,NJ,Urban,Returning Buyer
AT-100139,59,99,452.41,4,0.512,0.693,0.941,0.648,0.368,0.818,29,False,Direct,Insider,Returning,Pacific Northwest,ID,Suburban,High-Value
AT-100140,65,69,129.04,1,0.295,0.323,0.651,0.391,0.315,0.581,36,False,Retail Partner,Member,Returning,Southwest,NV,Suburban,Returning Buyer
AT-100141,93,2,176.43,17,0.412,0.738,0.418,0.679,0.54,0.345,77,False,Direct,Explorer,Returning,Southwest,NM,Suburban,Returning Buyer
AT-100142,33,10,168.52,1,0.819,0.376,0.412,0.644,0.299,0.756,6,False,Paid Social,Insider,Returning,Southeast,FL,Urban,Lifestyle Affinity
AT-100143,7,108,116.2,8,0.698,0.37,0.422,0.098,0.267,0.198,84,False,Retail Partner,Explorer,Returning,Midwest,OH,Urban,Returning Buyer
AT-100144,6,25,303.39,0,0.624,0.567,0.241,0.326,0.529,0.845,52,False,Paid Social,Explorer,Returning,Southwest,AZ,Suburban,Lifestyle Affinity
AT-100145,15,177,233.69,7,0.744,0.43,0.29,0.928,0.267,0.507,33,False,Retail Partner,Member,Returning,California,CA,Urban,Returning Buyer
AT-100146,29,14,200.19,14,0.732,0.443,0.608,0.699,0.626,0.76,25,False,Paid Social,Explorer,Returning,Mountain West,CO,Rural,Lifestyle Affinity
AT-100147,79,57,232.95,9,0.365,0.598,0.426,0.353,0.89,0.462,4,False,Paid Social,Member,Returning,Midwest,IL,Urban,Performance Affinity
AT-100148,19,236,278.89,4,0.75,0.351,0.376,0.871,0.239,0.716,78,False,Paid Social,Explorer,Returning,Southwest,NV,Urban,Lifestyle Affinity
AT-100149,14,170,276.94,7,0.6,0.705,0.861,0.302,0.562,0.348,22,False,Paid Social,Explorer,New,Pacific Northwest,WA,Urban,New Customer
AT-100150,4,134,100.79,1,0.87,0.387,0.426,0.496,0.729,0.46,9,False,Direct,Explorer,Returning,Northeast,PA,Suburban,Performance Affinity
AT-100151,37,4,339.49,10,0.846,0.47,0.298,0.559,0.21,0.114,69,False,Paid Social,Explorer,Returning,Southeast,FL,Suburban,Returning Buyer
AT-100152,58,11,216.75,0,0.492,0.12,0.044,0.526,0.261,0.378,58,True,Direct,Founders,Returning,California,CA,Suburban,Returning Buyer
AT-100153,27,218,133.72,6,0.106,0.569,0.353,0.887,0.372,0.797,8,False,Retail Partner,Member,New,Midwest,MI,Rural,New Customer
AT-100154,48,192,213.57,1,0.576,0.06,0.288,0.33,0.473,0.465,39,False,Direct,Member,Returning,Pacific Northwest,WA,Urban,At-Risk
AT-100155,24,228,230.7,4,0.421,0.488,0.071,0.753,0.273,0.286,78,False,Direct,Member,Returning,Midwest,MN,Suburban,Returning Buyer
AT-100156,77,194,386.55,1,0.684,0.308,0.173,0.535,0.435,0.829,18,False,Retail Partner,Insider,Returning,California,CA,Urban,High-Value
AT-100157,3,1,87.16,16,0.283,0.797,0.396,0.464,0.565,0.542,53,False,Direct,Explorer,Returning,Midwest,IL,Urban,Returning Buyer
AT-100158,20,193,458.28,13,0.767,0.33,0.301,0.626,0.393,0.114,54,False,Organic,Explorer,New,Northeast,MA,Suburban,New Customer
AT-100159,54,110,184.24,16,0.865,0.395,0.688,0.838,0.373,0.637,71,True,Paid Social,Member,Returning,Northeast,PA,Urban,Returning Buyer
AT-100160,81,166,127.19,12,0.473,0.541,0.02,0.689,0.622,0.942,19,False,Direct,Member,Returning,Pacific Northwest,WA,Suburban,Lifestyle Affinity
AT-100161,39,99,124.5,8,0.876,0.494,0.207,0.708,0.525,0.655,68,False,Direct,Insider,New,Southeast,NC,Suburban,New Customer
AT-100162,7,173,89.93,3,0.566,0.206,0.527,0.899,0.482,0.53,0,False,Organic,Insider,Returning,California,CA,Suburban,At-Risk
AT-100163,53,202,53.59,17,0.928,0.426,0.077,0.864,0.206,0.536,67,False,Direct,Insider,Returning,Pacific Northwest,ID,Suburban,Returning Buyer
AT-100164,26,233,291.25,16,0.607,0.224,0.603,0.815,0.591,0.549,1,False,Direct,Explorer,Returning,Midwest,IL,Suburban,At-Risk
AT-100165,29,130,725.33,7,0.812,0.152,0.465,0.672,0.343,0.751,2,False,Direct,Explorer,Returning,Mountain West,CO,Urban,High-Value
AT-100166,88,67,58.42,4,0.644,0.606,0.342,0.932,0.458,0.524,8,False,Organic,Explorer,Returning,Northeast,NJ,Urban,Returning Buyer
AT-100167,90,147,93.2,6,0.679,0.639,0.366,0.318,0.424,0.578,66,False,Organic,Insider,Returning,Northeast,PA,Urban,Returning Buyer
AT-100168,25,120,306.77,7,0.571,0.345,0.271,0.685,0.496,0.577,73,False,Direct,Insider,Returning,Mountain West,MT,Suburban,Returning Buyer
AT-100169,57,49,175.57,16,0.662,0.22,0.45,0.463,0.061,0.34,60,False,Paid Social,Founders,New,Southeast,NC,Rural,New Customer
AT-100170,52,174,325.09,1,0.947,0.406,0.728,0.672,0.348,0.362,86,False,Paid Social,Explorer,Returning,California,CA,Urban,Returning Buyer
AT-100171,92,19,168.81,11,0.367,0.412,0.682,0.741,0.527,0.614,54,True,Direct,Insider,Returning,Southwest,NV,Suburban,Returning Buyer
AT-100172,90,97,120.73,13,0.301,0.678,0.332,0.354,0.613,0.496,89,False,Organic,Member,Returning,California,CA,Suburban,Returning Buyer
AT-100173,34,166,154.77,13,0.95,0.33,0.691,0.797,0.553,0.258,77,True,Retail Partner,Insider,Returning,Southeast,GA,Rural,At-Risk
AT-100174,3,221,34.21,3,0.646,0.268,0.552,0.59,0.077,0.751,60,False,Paid Social,Member,Returning,California,CA,Suburban,At-Risk
AT-100175,1,149,81.42,7,0.623,0.125,0.179,0.242,0.371,0.528,47,False,Organic,Explorer,New,Pacific Northwest,OR,Suburban,New Customer
AT-100176,1,235,352.06,6,0.06,0.428,0.62,0.815,0.618,0.401,45,False,Organic,Explorer,New,Southwest,NM,Suburban,New Customer
AT-100177,75,199,417.52,7,0.442,0.505,0.511,0.839,0.408,0.703,51,False,Direct,Founders,Returning,Southeast,TN,Rural,High-Value
AT-100178,71,57,485.08,1,0.755,0.3,0.326,0.127,0.112,0.667,23,False,Retail Partner,Member,Returning,Southeast,GA,Urban,High-Value
AT-100179,79,202,246.81,1,0.253,0.262,0.012,0.498,0.173,0.552,46,False,Retail Partner,Member,Returning,Northeast,NY,Rural,At-Risk
